,date,line,margin,ou margin,team,total
0,20130331,140.0,6,1.5,Astros,8.5
1,20130331,-152.0,-6,1.5,Rangers,8.5
2,20130401,-115.0,-2,-4.5,Athletics,6.5
3,20130401,105.0,2,-4.5,Mariners,6.5
4,20130401,-110.0,2,5.0,Braves,7.0
5,20130401,100.0,-2,5.0,Phillies,7.0
6,20130401,-150.0,1,1.0,Brewers,8.0
7,20130401,140.0,-1,1.0,Rockies,8.0
8,20130401,-108.0,4,-0.5,Diamondbacks,8.5
9,20130401,-102.0,-4,-0.5,Cardinals,8.5
10,20130401,-152.0,4,-2.0,Dodgers,6.0
11,20130401,142.0,-4,-2.0,Giants,6.0
12,20130401,-140.0,9,5.5,Mets,7.5
13,20130401,130.0,-9,5.5,Padres,7.5
14,20130401,-260.0,2,-5.0,Nationals,7.0
15,20130401,220.0,-2,-5.0,Marlins,7.0
16,20130401,-125.0,-2,-3.0,Pirates,7.0
17,20130401,115.0,2,-3.0,Cubs,7.0
18,20130401,-113.0,-2,-3.5,Reds,7.5
19,20130401,103.0,2,-3.5,Angels,7.5
20,20130401,170.0,-2,-1.0,Twins,7.0
21,20130401,-185.0,2,-1.0,Tigers,7.0
22,20130401,-135.0,1,-6.0,White Sox,7.0
23,20130401,125.0,-1,-6.0,Royals,7.0
24,20130401,-110.0,-6,2.0,Yankees,8.0
25,20130401,100.0,6,2.0,Red Sox,8.0
26,20130402,164.0,-7,-1.0,Astros,8.0
27,20130402,-174.0,7,-1.0,Rangers,8.0
28,20130402,-135.0,-6,1.0,Athletics,7.0
29,20130402,125.0,6,1.0,Mariners,7.0
30,20130402,-176.0,-3,-3.0,Blue Jays,8.0
31,20130402,166.0,3,-3.0,Indians,8.0
32,20130402,-152.0,-4,3.5,Brewers,8.5
33,20130402,142.0,4,3.5,Rockies,8.5
34,20130402,-115.0,-5,-2.0,Diamondbacks,9.0
35,20130402,105.0,5,-2.0,Cardinals,9.0
36,20130402,-107.0,-3,-3.5,Dodgers,6.5
37,20130402,-103.0,3,-3.5,Giants,6.5
38,20130402,-160.0,-3,4.0,Rays,7.0
39,20130402,150.0,3,4.0,Orioles,7.0
40,20130403,165.0,-4,-4.5,Astros,8.5
41,20130403,-175.0,4,-4.5,Rangers,8.5
42,20130403,-150.0,4,1.0,Athletics,7.0
43,20130403,140.0,-4,1.0,Mariners,7.0
44,20130403,-174.0,-1,-4.0,Blue Jays,9.0
45,20130403,164.0,1,-4.0,Indians,9.0
46,20130403,-135.0,7,3.5,Braves,7.5
47,20130403,125.0,-7,3.5,Phillies,7.5
48,20130403,-130.0,-4,1.5,Brewers,8.5
49,20130403,120.0,4,1.5,Rockies,8.5
50,20130403,-110.0,1,10.0,Diamondbacks,9.0
51,20130403,100.0,-1,10.0,Cardinals,9.0
52,20130403,-125.0,-2,1.0,Dodgers,7.0
53,20130403,115.0,2,1.0,Giants,7.0
54,20130403,-140.0,4,5.0,Mets,7.0
55,20130403,130.0,-4,5.0,Padres,7.0
56,20130403,-250.0,3,-4.0,Nationals,7.0
57,20130403,220.0,-3,-4.0,Marlins,7.0
58,20130403,-135.0,3,-4.0,Pirates,7.0
59,20130403,125.0,-3,-4.0,Cubs,7.0
60,20130403,-135.0,1,8.0,Rays,7.0
61,20130403,125.0,-1,8.0,Orioles,7.0
62,20130403,-125.0,1,2.0,Reds,7.0
63,20130403,115.0,-1,2.0,Angels,7.0
64,20130403,140.0,1,-3.0,Twins,8.0
65,20130403,-150.0,-1,-3.0,Tigers,8.0
66,20130403,-138.0,3,-0.5,White Sox,7.5
67,20130403,128.0,-3,-0.5,Royals,7.5
68,20130403,-130.0,-3,3.0,Yankees,8.0
69,20130403,120.0,3,3.0,Red Sox,8.0
70,20130404,-160.0,6,2.5,Athletics,7.5
71,20130404,150.0,-6,2.5,Mariners,7.5
72,20130404,-185.0,2,9.0,Blue Jays,9.0
73,20130404,170.0,-2,9.0,Indians,9.0
74,20130404,-125.0,-2,-4.5,Braves,6.5
75,20130404,115.0,2,-4.5,Phillies,6.5
