,date,line,margin,ou margin,team,total
4,20130102,1.0,-17.0,-13.0,CLEST,140.0
5,20130102,-1.0,17.0,-13.0,KST,140.0
6,20130102,-27.0,52.0,1.5,KENTY,126.5
7,20130102,27.0,-52.0,1.5,EMICH,126.5
8,20130102,-21.0,26.0,-12.0,OHIOS,126.0
9,20130102,21.0,-26.0,-12.0,NEB,126.0
16,20130102,4.0,-1.0,-7.5,MIAOH,146.5
17,20130102,-4.0,1.0,-7.5,MASS,146.5
20,20130102,-3.0,-3.0,-18.5,OLDOM,131.5
21,20130102,3.0,3.0,-18.5,JMAD,131.5
22,20130102,-18.5,18.0,9.0,LOUVI,133.0
23,20130102,18.5,-18.0,9.0,PROV,133.0
28,20130102,12.0,-17.0,-30.0,DAV,147.0
29,20130102,-12.0,17.0,-30.0,DUKE,147.0
32,20130102,-17.0,16.0,10.0,GATEC,122.0
33,20130102,17.0,-16.0,10.0,CHAT,122.0
34,20130102,-16.0,25.0,-9.5,SYR,140.5
35,20130102,16.0,-25.0,-9.5,RUTG,140.5
38,20130102,1.5,7.0,-9.0,WFRST,134.0
39,20130102,-1.5,-7.0,-9.0,XAVER,134.0
40,20130102,-3.0,-5.0,34.0,NCWIL,119.0
41,20130102,3.0,5.0,34.0,TWSN,119.0
46,20130102,-5.0,23.0,24.5,RICH,134.5
47,20130102,5.0,-23.0,24.5,AIRFC,134.5
48,20130102,-1.5,-17.0,15.0,GAST,122.0
49,20130102,1.5,17.0,15.0,DREX,122.0
56,20130102,-21.5,13.0,1.0,BUT,126.0
57,20130102,21.5,-13.0,1.0,PENN,126.0
76,20130102,-7.5,12.0,47.5,VILLA,136.5
77,20130102,7.5,-12.0,47.5,STJ,136.5
78,20130102,4.0,-18.0,-21.0,TXARL,131.0
79,20130102,-4.0,18.0,-21.0,BOIST,131.0
80,20130102,-5.5,14.0,-10.5,VANDY,124.5
81,20130102,5.5,-14.0,-10.5,WMMRY,124.5
84,20130102,-12.5,4.0,-12.5,UAB,138.5
85,20130102,12.5,-4.0,-12.5,GASO,138.5
86,20130102,-7.5,-9.0,-2.0,CFLR,123.0
87,20130102,7.5,9.0,-2.0,SOFLA,123.0
