,date,line,margin,ou margin,team,total
0,20130102,-14.0,-10.0,8.0,FLA,48.0
1,20130102,14.0,10.0,8.0,LOU,48.0
2,20130103,-8.5,18.0,-22.5,ORE,74.5
3,20130103,8.5,-18.0,-22.5,KAST,74.5
4,20130104,3.5,-28.0,-18.5,OKLA,72.5
5,20130104,-3.5,28.0,-18.5,TXAM,72.5
6,20130105,-3.0,21.0,2.0,MIS,53.0
7,20130105,3.0,-21.0,2.0,PIT,53.0
8,20130106,3.5,-4.0,-32.0,KEST,62.0
9,20130106,-3.5,4.0,-32.0,AKST,62.0
10,20130107,10.0,-28.0,15.0,NOTD,41.0
11,20130107,-10.0,28.0,15.0,ALA,41.0
12,20130829,-12.5,24.0,15.5,BALL,62.5
13,20130829,12.5,-24.0,15.5,ILST,62.5
14,20130829,-3.5,27.0,-9.0,BOWL,50.0
15,20130829,3.5,-27.0,-9.0,TLS,50.0
16,20130829,-23.5,31.0,-10.5,CFL,55.5
17,20130829,23.5,-31.0,-10.5,AKRON,55.5
18,20130829,-16.5,-15.0,3.5,CON,47.5
19,20130829,16.5,15.0,3.5,TWSN,47.5
20,20130829,-10.5,1.0,48.5,FRES,54.5
21,20130829,10.5,-1.0,48.5,RUT,54.5
22,20130829,23.5,-17.0,-11.0,HAW,54.0
23,20130829,-23.5,17.0,-11.0,USC,54.0
24,20130829,-24.5,38.0,53.5,IND,54.5
25,20130829,24.5,-38.0,53.5,INST,54.5
26,20130829,-19.0,7.0,-27.5,KEST,54.5
27,20130829,19.0,-7.0,-27.5,LIB,54.5
28,20130829,-14.0,28.0,22.0,MIN,52.0
29,20130829,14.0,-28.0,22.0,UNLV,52.0
30,20130829,-32.0,21.0,8.5,MTEN,60.5
31,20130829,32.0,-21.0,8.5,WCAR,60.5
32,20130829,-15.5,-1.0,-11.5,SALA,54.5
33,20130829,15.5,1.0,-11.5,SUT,54.5
34,20130829,-11.5,17.0,-19.0,SCAR,56.0
35,20130829,11.5,-17.0,-19.0,NCAR,56.0
36,20130829,-19.0,24.0,-30.5,SJST,54.5
37,20130829,19.0,-24.0,-30.5,CSAC,54.5
38,20130829,-24.5,27.0,-17.5,TLN,58.5
39,20130829,24.5,-27.0,-17.5,JAST,58.5
40,20130829,-2.5,4.0,4.0,UTAH,52.0
41,20130829,2.5,-4.0,4.0,UTST,52.0
42,20130829,3.0,-4.0,20.5,VAN,53.5
43,20130829,-3.0,4.0,20.5,MIS,53.5
44,20130829,-38.0,24.0,-13.0,WAKE,51.0
45,20130829,38.0,-24.0,-13.0,PRES,51.0
46,20130830,-32.5,16.0,-14.0,ARMY,54.0
47,20130830,32.5,-16.0,-14.0,MORG,54.0
48,20130830,-33.0,35.0,-28.0,ARZ,63.0
49,20130830,33.0,-35.0,-28.0,NAZ,63.0
50,20130830,-40.0,49.0,14.5,HOU,60.5
51,20130830,40.0,-49.0,14.5,SOU,60.5
52,20130830,-13.0,-3.0,-3.0,KAST,48.0
53,20130830,13.0,3.0,-3.0,NDST,48.0
54,20130830,-27.5,13.0,-5.5,MCST,44.5
55,20130830,27.5,-13.0,-5.5,WMCH,44.5
56,20130830,-31.5,28.0,-12.5,MIAF,52.5
57,20130830,31.5,-28.0,-12.5,FATL,52.5
58,20130830,4.5,-18.0,3.5,SMU,60.5
59,20130830,-4.5,18.0,3.5,TXT,60.5
60,20130830,9.0,-10.0,3.0,GAST,49.0
61,20130830,-9.0,10.0,3.0,SAMF,49.0
62,20130831,-26.5,25.0,-15.5,AIR,66.5
63,20130831,26.5,-25.0,-15.5,CLG,66.5
64,20130831,-32.5,51.0,23.5,AKST,49.5
65,20130831,32.5,-51.0,23.5,AKPB,49.5
66,20130831,-10.5,20.0,-8.0,ARK,56.0
67,20130831,10.5,-20.0,-8.0,LLAF,56.0
68,20130831,-14.0,7.0,-5.0,AUB,60.0
69,20130831,14.0,-7.0,-5.0,WAST,60.0
70,20130831,-30.0,66.0,6.0,BAY,66.0
71,20130831,30.0,-66.0,6.0,WOF,66.0
72,20130831,-15.5,10.0,-9.5,BCOL,47.5
73,20130831,15.5,-10.0,-9.5,VIL,47.5
74,20130831,5.5,-14.0,14.0,CAL,60.0
75,20130831,-5.5,14.0,14.0,NORW,60.0
76,20130831,-10.5,35.0,-1.0,CIN,50.0
77,20130831,10.5,-35.0,-1.0,PUR,50.0
78,20130831,2.0,3.0,1.5,CLEM,71.5
79,20130831,-2.0,-3.0,1.5,GEO,71.5
80,20130831,-33.0,45.0,-18.5,DUKE,63.5
81,20130831,33.0,-45.0,-18.5,NCC,63.5
82,20130831,-15.0,14.0,15.5,ECAR,74.5
83,20130831,15.0,-14.0,15.5,OLDD,74.5
84,20130831,-17.5,10.0,0.5,EMCH,57.5
85,20130831,17.5,-10.0,0.5,HOW,57.5
86,20130831,-22.5,18.0,-25.5,FLA,55.5
87,20130831,22.5,-18.0,-25.5,TOL,55.5
88,20130831,-46.5,70.0,11.5,GTCH,58.5
89,20130831,46.5,-70.0,11.5,ELON,58.5
90,20130831,-17.5,8.0,35.5,ILL,40.5
91,20130831,17.5,-8.0,35.5,SIL,40.5
92,20130831,-2.0,-3.0,3.5,IOWA,53.5
93,20130831,2.0,3.0,3.5,NIL,53.5
94,20130831,-9.5,-8.0,-0.5,IWST,48.5
95,20130831,9.5,8.0,-0.5,NIWA,48.5
96,20130831,-22.0,33.0,3.5,MARY,49.5
97,20130831,22.0,-33.0,3.5,FINT,49.5
98,20130831,-31.5,50.0,15.0,MICH,53.0
99,20130831,31.5,-50.0,15.0,CMCH,53.0
100,20130831,-38.0,44.0,2.5,MIZ,69.5
101,20130831,38.0,-44.0,2.5,MUR,69.5
102,20130831,-20.0,38.0,-1.5,MRSH,67.5
103,20130831,20.0,-38.0,-1.5,MIAO,67.5
104,20130831,-14.0,26.0,-7.5,NCST,61.5
105,20130831,14.0,-26.0,-7.5,LTCH,61.5
106,20130831,-30.0,3.0,5.0,NEB,66.0
107,20130831,30.0,-3.0,5.0,WYO,66.0
108,20130831,-3.5,-8.0,-21.0,NMX,55.0
109,20130831,3.5,8.0,-21.0,UTSA,55.0
110,20130831,-28.0,22.0,-18.5,NOTD,52.5
111,20130831,28.0,-22.0,-18.5,TEM,52.5
112,20130831,-16.0,34.0,-10.5,NTX,56.5
113,20130831,16.0,-34.0,-10.5,IDA,56.5
114,20130831,-34.0,20.0,4.5,OHST,55.5
115,20130831,34.0,-20.0,4.5,BUF,55.5
116,20130831,-22.5,34.0,-26.5,OKLA,60.5
117,20130831,22.5,-34.0,-26.5,LMON,60.5
118,20130831,-12.5,18.0,-37.5,OKST,61.5
119,20130831,12.5,-18.0,-37.5,MSST,61.5
120,20130831,-59.0,63.0,2.0,ORE,67.0
121,20130831,59.0,-63.0,2.0,NICH,67.0
122,20130831,-26.5,-3.0,37.5,ORST,57.5
123,20130831,26.5,3.0,37.5,EWA,57.5
124,20130831,-13.5,-21.0,-7.0,SDST,66.0
125,20130831,13.5,21.0,-7.0,EIL,66.0
126,20130831,-20.5,-33.0,24.5,SFL,48.5
127,20130831,20.5,33.0,24.5,MNEE,48.5
128,20130831,-8.0,-7.0,-18.0,SMIS,55.0
129,20130831,8.0,7.0,-18.0,TXST,55.0
130,20130831,8.0,-6.0,-11.0,SYR,51.0
131,20130831,-8.0,6.0,-11.0,PNST,51.0
132,20130831,4.0,-10.0,14.0,TCU,50.0
133,20130831,-4.0,10.0,14.0,LSU,50.0
134,20130831,-50.5,45.0,-22.5,TEN,67.5
135,20130831,50.5,-45.0,-22.5,APEA,67.5
136,20130831,-44.0,49.0,6.0,TEX,57.0
137,20130831,44.0,-49.0,6.0,NMST,57.0
138,20130831,-3.5,3.0,1.5,TROY,63.5
139,20130831,3.5,-3.0,1.5,UAB,63.5
140,20130831,-28.0,21.0,14.0,TXAM,69.0
141,20130831,28.0,-21.0,14.0,RICE,69.0
142,20130831,-21.0,38.0,10.0,UCLA,68.0
143,20130831,21.0,-38.0,10.0,NEV,68.0
144,20130831,2.0,3.0,-14.5,VIR,49.5
145,20130831,-2.0,-3.0,-14.5,BYU,49.5
146,20130831,21.5,-25.0,0.0,VTCH,45.0
147,20130831,-21.5,25.0,0.0,ALA,45.0
148,20130831,-4.0,32.0,-9.0,WAS,53.0
149,20130831,4.0,-32.0,-9.0,BOIS,53.0
150,20130831,-44.0,45.0,-8.5,WIS,53.5
151,20130831,44.0,-45.0,-8.5,MAS,53.5
152,20130831,4.0,9.0,5.0,WKY,56.0
153,20130831,-4.0,-9.0,5.0,KTKY,56.0
154,20130831,-32.0,7.0,-19.5,WVA,60.5
155,20130831,32.0,-7.0,-19.5,WAM,60.5
156,20130901,-2.0,-14.0,19.5,COST,48.5
157,20130901,2.0,14.0,19.5,COLO,48.5
158,20130901,-21.0,42.0,-2.5,LOU,58.5
159,20130901,21.0,-42.0,-2.5,OHU,58.5
160,20130902,11.5,-28.0,4.0,PIT,50.0
161,20130902,-11.5,28.0,4.0,FLST,50.0
162,20130905,-38.0,55.0,6.5,AZST,48.5
163,20130905,38.0,-55.0,6.5,CSAC,48.5
164,20130905,-19.0,18.0,-9.5,ECAR,53.5
165,20130905,19.0,-18.0,-9.5,FATL,53.5
166,20130906,-3.0,14.0,-14.5,BCOL,48.5
167,20130906,3.0,-14.0,-14.5,WAKE,48.5
168,20130906,24.5,-38.0,-15.5,FINT,53.5
169,20130906,-24.5,38.0,-15.5,CFL,53.5
170,20130907,9.0,-32.0,13.0,AIR,59.0
171,20130907,-9.0,32.0,13.0,UTST,59.0
172,20130907,-3.0,2.0,13.5,AKRON,54.5
173,20130907,3.0,-2.0,13.5,JMAD,54.5
174,20130907,-32.5,10.0,3.0,ARK,49.0
175,20130907,32.5,-10.0,3.0,SAMF,49.0
176,20130907,-12.0,29.0,-13.5,AUB,60.5
177,20130907,12.0,-29.0,-13.5,AKST,60.5
178,20130907,-9.0,26.0,-6.5,BALL,60.5
179,20130907,9.0,-26.0,-6.5,ARMY,60.5
180,20130907,-28.5,57.0,15.0,BAY,68.0
181,20130907,28.5,-57.0,15.0,BUF,68.0
182,20130907,-35.5,49.0,19.0,BOIS,58.0
183,20130907,35.5,-49.0,19.0,TMAR,58.0
184,20130907,7.0,19.0,4.0,BYU,57.0
185,20130907,-7.0,-19.0,4.0,TEX,57.0
186,20130907,-29.5,7.0,1.0,CAL,66.0
187,20130907,29.5,-7.0,1.0,POST,66.0
188,20130907,-52.5,39.0,3.0,CLEM,62.0
189,20130907,52.5,-39.0,3.0,SCST,62.0
190,20130907,-5.5,3.0,-17.0,CMCH,62.0
191,20130907,5.5,-3.0,-17.0,NHAM,62.0
192,20130907,-14.5,14.0,-1.5,COLO,63.5
193,20130907,14.5,-14.0,-1.5,CARK,63.5
194,20130907,-28.0,16.0,-5.5,FRES,71.5
195,20130907,28.0,-16.0,-5.5,CPOL,71.5
196,20130907,-3.5,11.0,16.0,GEO,55.0
197,20130907,3.5,-11.0,16.0,SCAR,55.0
198,20130907,8.5,28.0,6.5,ILL,55.5
199,20130907,-8.5,-28.0,6.5,CIN,55.5
200,20130907,-12.5,-6.0,8.0,IND,68.0
201,20130907,12.5,6.0,8.0,NAVY,68.0
202,20130907,-25.5,14.0,0.0,IOWA,42.0
203,20130907,25.5,-14.0,0.0,SWMS,42.0
204,20130907,-26.0,17.0,0.5,KAN,44.5
205,20130907,26.0,-17.0,0.5,USD,44.5
206,20130907,-12.0,21.0,14.0,KAST,61.0
207,20130907,12.0,-21.0,14.0,LLAF,61.0
208,20130907,7.0,-19.0,18.5,KEST,44.5
209,20130907,-7.0,19.0,18.5,BOWL,44.5
210,20130907,-17.0,34.0,-6.0,KTKY,54.0
211,20130907,17.0,-34.0,-6.0,MIAO,54.0
212,20130907,-42.0,38.0,2.5,LMON,55.5
213,20130907,42.0,-38.0,2.5,GRAM,55.5
214,20130907,-40.5,37.0,-4.5,LOU,55.5
215,20130907,40.5,-37.0,-4.5,EKY,55.5
216,20130907,-35.0,39.0,11.5,LSU,61.5
217,20130907,35.0,-39.0,11.5,UAB,61.5
218,20130907,-28.5,14.0,-21.5,LTCH,63.5
219,20130907,28.5,-14.0,-21.5,LAMA,63.5
220,20130907,-20.5,37.0,-6.0,MARY,63.0
221,20130907,20.5,-37.0,-6.0,OLDD,63.0
222,20130907,3.5,-10.0,-3.5,MAS,41.5
223,20130907,-3.5,10.0,-3.5,MAIN,41.5
224,20130907,-22.5,15.0,-15.5,MCST,42.5
225,20130907,22.5,-15.0,-15.5,SFL,42.5
226,20130907,5.5,-14.0,-10.5,MEM,52.5
227,20130907,-5.5,14.0,-10.5,DUKE,52.5
228,20130907,3.0,5.0,-10.5,MIAF,47.5
229,20130907,-3.0,-5.0,-10.5,FLA,47.5
230,20130907,-4.5,11.0,20.0,MICH,51.0
231,20130907,4.5,-11.0,20.0,NOTD,51.0
232,20130907,-49.5,18.0,-16.0,MIS,60.0
233,20130907,49.5,-18.0,-16.0,SEMS,60.0
234,20130907,-15.5,15.0,-4.5,MIZ,65.5
235,20130907,15.5,-15.0,-4.5,TOL,65.5
236,20130907,-42.5,55.0,-15.0,MRSH,70.0
237,20130907,42.5,-55.0,-15.0,GARD,70.0
238,20130907,-42.0,44.0,4.5,MSST,53.5
239,20130907,42.0,-44.0,4.5,ALCN,53.5
240,20130907,-20.0,20.0,-6.5,NCAR,66.5
241,20130907,20.0,-20.0,-6.5,MTEN,66.5
242,20130907,-30.0,2.0,-6.5,NCST,50.5
243,20130907,30.0,-2.0,-6.5,RICH,50.5
244,20130907,-28.0,43.0,9.0,NEB,60.0
245,20130907,28.0,-43.0,9.0,SMIS,60.0
246,20130907,-19.5,29.0,-17.0,NEV,60.0
247,20130907,19.5,-29.0,-17.0,CDAV,60.0
248,20130907,16.0,-23.0,13.5,NMST,51.5
249,20130907,-16.0,23.0,13.5,MIN,51.5
250,20130907,-17.0,21.0,20.5,NORW,54.5
251,20130907,17.0,-21.0,20.5,SYR,54.5
252,20130907,-28.0,35.0,-6.5,OHST,55.5
253,20130907,28.0,-35.0,-6.5,SDST,55.5
254,20130907,-5.0,6.0,-10.5,OHU,58.5
255,20130907,5.0,-6.0,-10.5,NTX,58.5
256,20130907,-21.5,9.0,-33.5,OKLA,56.5
257,20130907,21.5,-9.0,-33.5,WVA,56.5
258,20130907,-27.0,19.0,-7.5,ORST,54.5
259,20130907,27.0,-19.0,-7.5,HAW,54.5
260,20130907,-27.5,38.0,2.5,PNST,49.5
261,20130907,27.5,-38.0,2.5,EMCH,49.5
262,20130907,-17.0,6.0,-24.5,PUR,58.5
263,20130907,17.0,-6.0,-24.5,INST,58.5
264,20130907,-39.5,38.0,-7.5,RUT,45.5
265,20130907,39.5,-38.0,-7.5,NFST,45.5
266,20130907,-10.0,1.0,10.0,SMU,51.0
267,20130907,10.0,-1.0,10.0,MONS,51.0
268,20130907,-25.0,21.0,-2.0,STAN,49.0
269,20130907,25.0,-21.0,-2.0,SJST,49.0
270,20130907,-41.5,21.0,0.5,TCU,54.5
271,20130907,41.5,-21.0,0.5,SELA,54.5
272,20130907,3.0,-9.0,-32.5,TEM,67.5
273,20130907,-3.0,9.0,-32.5,HOU,67.5
274,20130907,-14.0,32.0,13.5,TEN,58.5
275,20130907,14.0,-32.0,13.5,WKY,58.5
276,20130907,-5.5,-2.0,31.0,TLN,49.0
277,20130907,5.5,2.0,31.0,SALA,49.0
278,20130907,-12.0,3.0,3.0,TLS,54.0
279,20130907,12.0,-3.0,3.0,COST,54.0
280,20130907,-51.5,63.0,8.5,TROY,60.5
281,20130907,51.5,-63.0,8.5,SAVA,60.5
282,20130907,-37.5,37.0,18.0,TXAM,75.0
283,20130907,37.5,-37.0,18.0,SHST,75.0
284,20130907,-31.0,25.0,-24.5,TXST,55.5
285,20130907,31.0,-25.0,-24.5,PRVW,55.5
286,20130907,-36.0,53.0,5.0,TXT,74.0
287,20130907,36.0,-53.0,5.0,SFAN,74.0
288,20130907,13.0,-45.0,8.0,UNLV,63.0
289,20130907,-13.0,45.0,8.0,ARZ,63.0
290,20130907,-15.5,-3.0,-36.5,USC,53.5
291,20130907,15.5,3.0,-36.5,WAST,53.5
292,20130907,-27.0,63.0,28.5,UTAH,48.5
293,20130907,27.0,-63.0,28.5,WEB,48.5
