,date,line,margin,ou margin,team,total
0,20130105,-4.5,6.0,-11.0,Texans,43.0
1,20130105,4.5,-6.0,-11.0,Bengals,43.0
2,20130105,-10.0,14.0,-10.5,Packers,44.5
3,20130105,10.0,-14.0,-10.5,Vikings,44.5
4,20130106,-7.0,15.0,-14.0,Ravens,47.0
5,20130106,7.0,-15.0,-14.0,Colts,47.0
6,20130106,3.0,-10.0,-8.0,Redskins,46.0
7,20130106,-3.0,10.0,-8.0,Seahawks,46.0
8,20130112,-9.0,-3.0,29.0,Broncos,44.0
9,20130112,9.0,3.0,29.0,Ravens,44.0
10,20130112,-3.0,14.0,31.0,Fortyniners,45.0
11,20130112,3.0,-14.0,31.0,Packers,45.0
12,20130113,-2.5,2.0,11.5,Falcons,46.5
13,20130113,2.5,-2.0,11.5,Seahawks,46.5
14,20130113,-9.5,13.0,20.5,Patriots,48.5
15,20130113,9.5,-13.0,20.5,Texans,48.5
16,20130120,3.5,-4.0,3.5,Falcons,48.5
17,20130120,-3.5,4.0,3.5,Fortyniners,48.5
18,20130120,-8.0,-15.0,-10.0,Patriots,51.0
19,20130120,8.0,15.0,-10.0,Ravens,51.0
20,20130203,-4.0,-3.0,16.5,Fortyniners,48.5
21,20130203,4.0,3.0,16.5,Ravens,48.5
22,20130905,-8.0,22.0,27.0,Broncos,49.0
23,20130905,8.0,-22.0,27.0,Ravens,49.0
24,20130908,9.5,-2.0,-6.5,Bills,50.5
25,20130908,-9.5,2.0,-6.5,Patriots,50.5
26,20130908,-3.0,3.0,3.0,Bears,42.0
27,20130908,3.0,-3.0,3.0,Bengals,42.0
28,20130908,-1.5,-13.0,-7.5,Browns,40.5
29,20130908,1.5,13.0,-7.5,Dolphins,40.5
30,20130908,-3.5,6.0,-14.0,Saints,54.0
31,20130908,3.5,-6.0,-14.0,Falcons,54.0
32,20130908,3.5,1.0,-4.5,Jets,39.5
33,20130908,-3.5,-1.0,-4.5,Buccaneers,39.5
34,20130908,-6.5,-7.0,-16.5,Steelers,41.5
35,20130908,6.5,7.0,-16.5,Titans,41.5
36,20130908,-4.5,10.0,11.5,Lions,46.5
37,20130908,4.5,-10.0,11.5,Vikings,46.5
38,20130908,-10.0,4.0,-7.5,Colts,45.5
39,20130908,10.0,-4.0,-7.5,Raiders,45.5
40,20130908,3.0,-5.0,-26.0,Panthers,45.0
41,20130908,-3.0,5.0,-26.0,Seahawks,45.0
42,20130908,4.0,-26.0,-12.5,Jaguars,42.5
43,20130908,-4.0,26.0,-12.5,Chiefs,42.5
44,20130908,-4.0,3.0,8.5,Rams,42.5
45,20130908,4.0,-3.0,8.5,Cardinals,42.5
46,20130908,-4.5,6.0,13.5,Fortyniners,48.5
47,20130908,4.5,-6.0,13.5,Packers,48.5
48,20130908,-3.5,5.0,17.5,Cowboys,49.5
49,20130908,3.5,-5.0,17.5,Giants,49.5
50,20130909,-3.5,-6.0,8.0,Redskins,52.0
51,20130909,3.5,6.0,8.0,Eagles,52.0
52,20130909,4.0,-3.0,14.5,Chargers,44.5
53,20130909,-4.0,3.0,14.5,Texans,44.5
54,20130912,-11.0,3.0,-20.0,Patriots,43.0
55,20130912,11.0,-3.0,-20.0,Jets,43.0
56,20130915,-5.5,7.0,7.5,Falcons,47.5
57,20130915,5.5,-7.0,7.5,Rams,47.5
58,20130915,3.0,1.0,3.0,Bills,44.0
59,20130915,-3.0,-1.0,3.0,Panthers,44.0
60,20130915,-6.0,1.0,20.0,Bears,41.0
61,20130915,6.0,-1.0,20.0,Vikings,41.0
62,20130915,-7.0,18.0,8.5,Packers,49.5
63,20130915,7.0,-18.0,8.5,Redskins,49.5
64,20130915,-2.0,-4.0,1.0,Colts,43.0
65,20130915,2.0,4.0,1.0,Dolphins,43.0
66,20130915,-3.0,1.0,-12.5,Chiefs,45.5
67,20130915,3.0,-1.0,-12.5,Cowboys,45.5
68,20130915,-6.5,8.0,-23.5,Ravens,43.5
69,20130915,6.5,-8.0,-23.5,Browns,43.5
70,20130915,-7.5,6.0,10.0,Texans,44.0
71,20130915,7.5,-6.0,10.0,Titans,44.0
72,20130915,-7.0,-3.0,11.0,Eagles,52.0
73,20130915,7.0,3.0,11.0,Chargers,52.0
74,20130915,1.5,4.0,-1.0,Cardinals,47.0
75,20130915,-1.5,-4.0,-1.0,Lions,47.0
76,20130915,3.0,-2.0,-18.0,Buccaneers,48.0
77,20130915,-3.0,2.0,-18.0,Saints,48.0
78,20130915,-5.0,10.0,-12.5,Raiders,40.5
79,20130915,5.0,-10.0,-12.5,Jaguars,40.5
80,20130915,4.5,-18.0,9.5,Giants,54.5
81,20130915,-4.5,18.0,9.5,Broncos,54.5
82,20130915,-3.0,26.0,-12.0,Seahawks,44.0
83,20130915,3.0,-26.0,-12.0,Fortyniners,44.0
