,date,line,margin,ou margin,team,total
0,20130119,110.0,-2.0,-2.0,Flyers,6.0
1,20130119,-119.0,2.0,-2.0,Penguins,6.0
2,20130119,-121.0,-3.0,-1.0,Jets,6.0
3,20130119,112.0,3.0,-1.0,Senators,6.0
4,20130119,-107.0,-3.0,2.0,Kings,5.0
5,20130119,-101.0,3.0,2.0,Blackhawks,5.0
6,20130119,-135.0,2.0,-1.0,Bruins,5.0
7,20130119,125.0,-2.0,-1.0,Rangers,5.0
8,20130119,-139.0,-1.0,-2.5,Canadiens,5.5
9,20130119,128.0,1.0,-2.5,Maple Leafs,5.5
10,20130119,101.0,-1.0,-2.0,Islanders,5.0
11,20130119,-109.0,1.0,-2.0,Devils,5.0
12,20130119,-120.0,3.0,3.0,Lightning,6.0
13,20130119,111.0,-3.0,3.0,Capitals,6.0
14,20130119,100.0,4.0,1.0,Panthers,5.0
15,20130119,-108.0,-4.0,1.0,Hurricanes,5.0
16,20130119,-134.0,6.0,1.0,Blues,5.0
17,20130119,124.0,-6.0,1.0,Red Wings,5.0
18,20130119,-169.0,-1.0,-0.5,Predators,5.5
19,20130119,156.0,1.0,-0.5,Blue Jackets,5.5
20,20130119,-114.0,1.0,2.0,Stars,5.0
21,20130119,105.0,-1.0,2.0,Coyotes,5.0
22,20130119,-130.0,2.0,1.0,Wild,5.0
23,20130119,120.0,-2.0,1.0,Avalanche,5.0
24,20130119,-148.0,-4.0,4.5,Canucks,5.5
25,20130119,136.0,4.0,4.5,Ducks,5.5
26,20130120,-126.0,3.0,1.5,Sabres,5.5
27,20130120,116.0,-3.0,1.5,Flyers,5.5
28,20130120,-106.0,-3.0,3.5,Rangers,5.5
29,20130120,-102.0,3.0,3.5,Penguins,5.5
30,20130120,116.0,-3.0,0.0,Flames,5.0
31,20130120,-126.0,3.0,0.0,Sharks,5.0
32,20130120,-152.0,1.0,-4.0,Wild,5.0
33,20130120,140.0,-1.0,-4.0,Stars,5.0
34,20130120,-138.0,-1.0,-0.5,Canucks,5.5
35,20130120,127.0,1.0,-0.5,Oilers,5.5
36,20130120,-101.0,-2.0,4.5,Coyotes,5.5
37,20130120,-107.0,2.0,4.5,Blackhawks,5.5
38,20130121,-195.0,1.0,-2.5,Bruins,5.5
39,20130121,179.0,-1.0,-2.5,Jets,5.5
40,20130121,-104.0,1.0,1.5,Islanders,5.5
41,20130121,-104.0,-1.0,1.5,Lightning,5.5
42,20130121,-118.0,-1.0,-2.5,Maple Leafs,5.5
43,20130121,109.0,1.0,-2.5,Sabres,5.5
44,20130121,-146.0,4.0,-1.5,Senators,5.5
45,20130121,135.0,-4.0,-1.5,Panthers,5.5
46,20130121,111.0,-1.0,1.5,Blue Jackets,5.5
47,20130121,-120.0,1.0,1.5,Red Wings,5.5
48,20130121,105.0,-1.0,3.5,Flames,5.5
49,20130121,-114.0,1.0,3.5,Ducks,5.5
50,20130121,112.0,-1.0,2.0,Predators,5.0
51,20130121,-121.0,1.0,2.0,Blues,5.0
52,20130122,-159.0,-2.0,0.5,Capitals,5.5
53,20130122,146.0,2.0,0.5,Jets,5.5
54,20130122,-154.0,-3.0,-0.5,Hurricanes,5.5
